Name of College	Type	SM (State merit)	EZ (Ezhava)	MU (Muslim)	LA (Latin Catholic and Anglo Indian)	BH (Other Backward Hindu)	DV (Dheevara and related communities)	VK (vishwakarma and related communities)	BX (Other backward X'ian)	KN (Kusavan related communities)	KU (Kudumi)	SC (Scheduled caste)	ST (Scheduled tribe)	EW (Economically Weaker Section)	Special Categories	Course
College of Engineering, Cherthala	N	25709	29975	28069	28239	27309	34713	29988	-	-	-	41937	-	36823	FW:21572, MG:49623	AD:Artificial Intelligence and Data Science
College of Engineering, Karunagappally, Kollam	N	29627	35356	34896	43556	35306	-	-	-	-	35938	50424	-	46645	FW:22649, MG:50314	AD:Artificial Intelligence and Data Science
College of Engineering Perumon, Kollam	N	19941	28810	23749	24409	24877	-	24228	40600	-	-	50454	-	28161		AD:Artificial Intelligence and Data Science
University College of Engineering,Thodupuzha	N	37747	41358	44565	46624	51921	44517	39257	-	-	-	50598	-	48443	FW:20112	AD:Artificial Intelligence and Data Science
Al-Ameen Engineering College, Palakkad	S	52144	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Amal Jyothi College of Engineering, Kottayam	S	25824	29033	30139	49144	26328	-	37980	-	-	-	-	-	-	FW:17967	AD:Artificial Intelligence and Data Science
AWH Engineering College, Kozhikkode	S	49053	51771	49629	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Eranad Knowledge City Technical Campus, Malappuram	S	47485	-	50439	-	-	-	-	-	-	-	-	-	-	FW:34325	AD:Artificial Intelligence and Data Science
Gregorian Institute of Technology,Kanjirampara,Kott ayam	S	49938	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Holy Grace Academy of Engineering, Thrissur	S	48855	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Ilahia College of Engineering and Technology, Ernakulam	S	38426	45641	40096	-	-	-	-	-	-	-	-	-	-	FW:15440	AD:Artificial Intelligence and Data Science
Jyothi Engineering College, Thrissur	S	28608	36703	37395	-	30241	-	30255	-	-	-	50466	-	-	FW:18659	AD:Artificial Intelligence and Data Science
K M E A Engineering College, Cochin	S	45294	-	45575	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
KMCT Institute of Technology and Management,Kuttipuram,Mala ppuram	S	42288	-	46286	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
KMCT Institute of Emerging Technology and Management, Mukkam, Kozhikode	S	35071	47013	39507	-	-	48483	-	-	-	-	-	-	-	FW:20475	AD:Artificial Intelligence and Data Science
M E A Engineering College, Vengoor	S	30033	51158	30086	-	-	-	-	-	-	-	-	-	-	FW:18954	AD:Artificial Intelligence and Data Science
MES College of Engineering and Technology, Ernakulam	S	44183	49715	48238	51757	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
M E S College of Engineering, Kuttippuram	S	21624	36915	22042	-	-	-	-	-	-	-	-	-	-	FW:12492	AD:Artificial Intelligence and Data Science
Mets School of Engineering, Thrissur	S	38706	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Muthoot Institute of Technology and Science,Ernakulam	S	10275	13334	12006	23563	18500	-	-	-	-	-	46281	-	21471	FW:7945	AD:Artificial Intelligence and Data Science
Nirmala College of Engineering Technology and Management, Thirissur	S	52283	-	-	-	-	-	-	-	-	-	-	-	-	FW:39556	AD:Artificial Intelligence and Data Science
P A Aziz College of Engineering and Technology, Thiruvananthapuram	S	40853	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Royal College of Engineering and Technology, Thrissur	S	47365	-	-	-	-	-	-	-	-	-	-	-	-	FW:35357	AD:Artificial Intelligence and Data Science
Rajagiri School of Engineering and Technology, Ernakulam	S	8240	11332	9309	-	-	18065	9646	-	31702	-	49702	-	-	FW:8967	AD:Artificial Intelligence and Data Science
St Josephs College of Engineering and Technology, Palai	S	23849	30805	37045	29789	31327	-	32777	-	-	-	46926	-	-	FW:21396	AD:Artificial Intelligence and Data Science
Sree Narayana Guru College of Engineering and Technology, Kannur	S	39956	44010	42683	-	50573	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Sreepathy Institute of Management and Technology, Palakkad	S	52180	-	-	-	-	-	-	-	-	-	-	-	-	FW:19347	AD:Artificial Intelligence and Data Science
TOMS College of Engineering,Kottayam	S	51060	-	-	-	-	-	-	-	-	-	-	-	-		AD:Artificial Intelligence and Data Science
Viswajyothi College of Engineering and Technology, Ernakulam	S	24176	35040	24607	-	35122	-	-	-	-	-	25620	-	-	FW:16277	AD:Artificial Intelligence and Data Science
Vimal Jyothi Engineering College, Kannur	S	30728	36093	50899	-	33866	-	46081	-	-	-	40174	-	-	FW:18622	AD:Artificial Intelligence and Data Science
Government Engineering College, Kozhikkode	G	10662	16547	13670	51257	16000	28588	15247	43347	50197	-	48917	-	31395	FW:10041, SD:35925	AE:Applied Electronics & Instrumentation
College of Engineering, Thiruvananthapuram	G	1830	2576	2250	3393	2129	5658	2708	8719	18288	-	26436	41528	3782	FW:1512	AE:Applied Electronics & Instrumentation
Mount Zion College of Engineering, Pathanamthitta	S	52432	-	-	-	-	-	-	-	-	-	-	-	-		AE:Applied Electronics & Instrumentation
Rajagiri School of Engineering and Technology, Ernakulam	S	19671	23942	23403	-	-	47779	42037	-	-	-	44070	-	-	FW:17994	AE:Applied Electronics & Instrumentation
Kelappaji College of Agricultural Engineering and Technology, Tavanur	G	11325	14669	13345	20327	15983	39255	13601	-	-	-	25835	23836	30932	LG:38147, PI:37	AG:B.Tech. (Agrl. Engg.)
Mar Athanasius College of Engineering, Kothamangalam	G	5197	5578	6033	5384	7116	20216	7110	-	24102	32395	24347	48942	-	FW:4238	AH:Artificial Intelligence and Machine Learning
